k,home_adv,draw_prob,matches,accuracy,log_loss,brier
10.0,0.0,0.2,1520,0.5263157894736842,1.0182157839738073,0.6077156526475966
10.0,0.0,0.23,1520,0.5263157894736842,1.0154540334266506,0.6074041251541399
10.0,0.0,0.25,1520,0.5263157894736842,1.0165117226389206,0.6087225204042636
10.0,0.0,0.27,1520,0.5263157894736842,1.0195953952022396,0.6112617798509958
10.0,0.0,0.3,1520,0.5263157894736842,1.0276361402454175,0.6173597893897338
10.0,25.0,0.2,1520,0.5335526315789474,1.0113548014833385,0.6024994758715293
10.0,25.0,0.23,1520,0.5335526315789474,1.0085930509361818,0.6023327329003777
10.0,25.0,0.25,1520,0.5335526315789474,1.0096507401484534,0.6037498512565723
10.0,25.0,0.27,1520,0.5335526315789474,1.0127344127117692,0.6063895938823388
10.0,25.0,0.3,1520,0.5335526315789474,1.0207751577549484,0.6126416283264332
10.0,50.0,0.2,1520,0.530921052631579,1.008246011148524,0.6005492902084754
10.0,50.0,0.23,1520,0.530921052631579,1.0054842606013685,0.6003022804875715
10.0,50.0,0.25,1520,0.530921052631579,1.006541949813639,0.6016725283141549
10.0,50.0,0.27,1520,0.530921052631579,1.0096256223769582,0.6042707129198186
10.0,50.0,0.3,1520,0.530921052631579,1.0176663674201347,0.6104703712890955
10.0,65.0,0.2,1520,0.5098684210526315,1.008159130375503,0.6009026378077857
10.0,65.0,0.23,1520,0.5098684210526315,1.0053973798283482,0.6005035927152673
10.0,65.0,0.25,1520,0.5098684210526315,1.00645506904062,0.6017784916290269
10.0,65.0,0.27,1520,0.5098684210526315,1.0095387416039407,0.6042861337231362
10.0,65.0,0.3,1520,0.5098684210526315,1.0175794866471144,0.61035899032746
10.0,80.0,0.2,1520,0.5078947368421053,1.0093834075777561,0.6023454712901924
10.0,80.0,0.23,1520,0.5078947368421053,1.0066216570306001,0.6017208631959409
10.0,80.0,0.25,1520,0.5078947368421053,1.007679346242872,0.6028528091451767
10.0,80.0,0.27,1520,0.5078947368421053,1.0107630188061896,0.6052234361707288
10.0,80.0,0.3,1520,0.5078947368421053,1.0188037638493674,0.6111019037271631
10.0,100.0,0.2,1520,0.4967105263157895,1.0130133141177298,0.6058602171503443
10.0,100.0,0.23,1520,0.4967105263157895,1.0102515635705747,0.6048286383329357
10.0,100.0,0.25,1520,0.4967105263157895,1.0113092527828442,0.6057011824906879
10.0,100.0,0.27,1520,0.4967105263157895,1.014392925346164,0.6078219373439251
10.0,100.0,0.3,1520,0.4967105263157895,1.0224336703893415,0.6133434646778207
15.0,0.0,0.2,1520,0.531578947368421,1.0081649775675048,0.6006552408222549
15.0,0.0,0.23,1520,0.531578947368421,1.0054032270203492,0.6003360421188174
15.0,0.0,0.25,1520,0.531578947368421,1.0064609162326215,0.6016611170234707
15.0,0.0,0.27,1520,0.531578947368421,1.0095445887959391,0.6042164911603514
15.0,0.0,0.3,1520,0.531578947368421,1.0175853338391156,0.6103563634260949
15.0,25.0,0.2,1520,0.5355263157894737,1.0011840854222127,0.5954162429884353
15.0,25.0,0.23,1520,0.5355263157894737,0.9984223348750579,0.595245976045937
15.0,25.0,0.25,1520,0.5355263157894737,0.9994800240873309,0.5966723963954531
15.0,25.0,0.27,1520,0.5355263157894737,1.0025636966506484,0.5993307620605826
15.0,25.0,0.3,1520,0.5355263157894737,1.0106044416938247,0.6056282080250529
15.0,50.0,0.2,1520,0.5375,0.9978822887164298,0.5933263569451954
15.0,50.0,0.23,1520,0.5375,0.9951205381692758,0.5930888513936905
15.0,50.0,0.25,1520,0.5375,0.9961782273815458,0.5944767494383127
15.0,50.0,0.27,1520,0.5375,0.9992618999448657,0.5971016355461015
15.0,50.0,0.3,1520,0.5375,1.007302644988043,0.6033583173262252
15.0,65.0,0.2,1520,0.5342105263157895,0.9976439164436567,0.5935416506540606
15.0,65.0,0.23,1520,0.5342105263157895,0.9948821658965024,0.593164106986472
15.0,65.0,0.25,1520,0.5342105263157895,0.9959398551087738,0.594464359040373
15.0,65.0,0.27,1520,0.5342105263157895,0.999023527672092,0.597006169360106
15.0,65.0,0.3,1520,0.5342105263157895,1.007064272715268,0.6031468065881476
15.0,80.0,0.2,1520,0.5184210526315789,0.9986891458717028,0.5948070604947386
15.0,80.0,0.23,1520,0.5184210526315789,0.9959273953245462,0.594219026464972
15.0,80.0,0.25,1520,0.5184210526315789,0.9969850845368181,0.5953860095108892
15.0,80.0,0.27,1520,0.5184210526315789,1.0000687571001354,0.5978001971427499
15.0,80.0,0.3,1520,0.5184210526315789,1.0081095021433142,0.603759987189183
15.0,100.0,0.2,1520,0.5105263157894737,1.0020359175754414,0.5980261666430154
15.0,100.0,0.23,1520,0.5105263157894737,0.9992741670282861,0.5970559316902193
15.0,100.0,0.25,1520,0.5105263157894737,1.000331856240557,0.5979794337936181
15.0,100.0,0.27,1520,0.5105263157894737,1.0034155288038749,0.6001591962212288
15.0,100.0,0.3,1520,0.5105263157894737,1.0114562738470523,0.6057843279705355
20.0,0.0,0.2,1520,0.5322368421052631,1.0018807106390426,0.5964027476074047
20.0,0.0,0.23,1520,0.5322368421052631,0.9991189600918875,0.5960258167979279
20.0,0.0,0.25,1520,0.5322368421052631,1.0001766493041588,0.5973218062553355
20.0,0.0,0.27,1520,0.5322368421052631,1.0032603218674798,0.5998556170437264
20.0,0.0,0.3,1520,0.5322368421052631,1.0113010669106564,0.6059772482219006
20.0,25.0,0.2,1520,0.5375,0.9947871948889737,0.591123236388547
20.0,25.0,0.23,1520,0.5375,0.9920254443418173,0.5908993965228679
20.0,25.0,0.25,1520,0.5375,0.9930831335540906,0.5922993899309865
20.0,25.0,0.27,1520,0.5375,0.9961668061174056,0.5949387593272957
20.0,25.0,0.3,1520,0.5375,1.0042075511605861,0.601221643399616
20.0,50.0,0.2,1520,0.5447368421052632,0.9913261832767241,0.588900717247269
20.0,50.0,0.23,1520,0.5447368421052632,0.9885644327295682,0.5886202200586736
20.0,50.0,0.25,1520,0.5447368421052632,0.9896221219418415,0.5899885026017604
20.0,50.0,0.27,1520,0.5447368421052632,0.9927057945051584,0.5926010096799043
20.0,50.0,0.3,1520,0.5447368421052632,1.0007465395483357,0.5988526913003466
20.0,65.0,0.2,1520,0.5388157894736842,0.9909691398968594,0.5889936546857093
20.0,65.0,0.23,1520,0.5388157894736842,0.9882073893497043,0.5885825079392364
20.0,65.0,0.25,1520,0.5388157894736842,0.9892650785619759,0.5898691957296256
20.0,65.0,0.27,1520,0.5388157894736842,0.9923487511252951,0.5924045120171085
20.0,65.0,0.3,1520,0.5388157894736842,1.0003894961684714,0.5985486648803909
20.0,80.0,0.2,1520,0.5322368421052631,0.9918774299368192,0.5901054428205872
20.0,80.0,0.23,1520,0.5322368421052631,0.9891156793896637,0.5894954562111776
20.0,80.0,0.25,1520,0.5322368421052631,0.990173368601935,0.5906563870283473
20.0,80.0,0.27,1520,0.5322368421052631,0.9932570411652537,0.5930713886909383
20.0,80.0,0.3,1520,0.5322368421052631,1.001297786208431,0.5990452740199894
20.0,100.0,0.2,1520,0.5197368421052632,0.9950114767312784,0.5930722832432248
20.0,100.0,0.23,1520,0.5197368421052632,0.9922497261841224,0.5920991184330571
20.0,100.0,0.25,1520,0.5197368421052632,0.9933074153963941,0.5930288361503638
20.0,100.0,0.27,1520,0.5197368421052632,0.9963910879597094,0.5952213492736125
20.0,100.0,0.3,1520,0.5197368421052632,1.0044318330028879,0.6008778603446143
25.0,0.0,0.2,1520,0.5355263157894737,0.9977818499527776,0.5937288121519841
25.0,0.0,0.23,1520,0.5355263157894737,0.9950200994056216,0.5932742619320247
25.0,0.0,0.25,1520,0.5355263157894737,0.996077788617894,0.5945262060677299
25.0,0.0,0.27,1520,0.5355263157894737,0.9991614611812107,0.5970221322959788
25.0,0.0,0.3,1520,0.5355263157894737,1.0072022062243884,0.6030984880618648
25.0,25.0,0.2,1520,0.5414473684210527,0.9905835470264416,0.5883974736500002
25.0,25.0,0.23,1520,0.5414473684210527,0.987821796479285,0.5881001768235951
25.0,25.0,0.25,1520,0.5414473684210527,0.9888794856915579,0.5894588038190839
25.0,25.0,0.27,1520,0.5414473684210527,0.9919631582548759,0.592062890718379
25.0,25.0,0.3,1520,0.5414473684210527,1.000003903298055,0.5983042583869594
25.0,50.0,0.2,1520,0.5401315789473684,0.9869883404481631,0.5860493430377536
25.0,50.0,0.23,1520,0.5401315789473684,0.9842265899010066,0.5857043973687726
25.0,50.0,0.25,1520,0.5401315789473684,0.9852842791132793,0.5870371330900119
25.0,50.0,0.27,1520,0.5401315789473684,0.9883679516765981,0.5896200284117001
25.0,50.0,0.3,1520,0.5401315789473684,0.9964086967197748,0.5958384206450755
25.0,65.0,0.2,1520,0.5453947368421053,0.9865358262148214,0.5860326995758084
25.0,65.0,0.23,1520,0.5453947368421053,0.9837740756676641,0.5855648104030555
25.0,65.0,0.25,1520,0.5453947368421053,0.9848317648799385,0.5868209330366562
25.0,65.0,0.27,1520,0.5453947368421053,0.9879154374432532,0.5893314946692706
25.0,65.0,0.3,1520,0.5453947368421053,0.995956182486432,0.5954494102413442
25.0,80.0,0.2,1520,0.5401315789473684,0.9873364758147222,0.5870098363031883
25.0,80.0,0.23,1520,0.5401315789473684,0.9845747252675656,0.5863525385171651
25.0,80.0,0.25,1520,0.5401315789473684,0.9856324144798386,0.5874890019880656
25.0,80.0,0.27,1520,0.5401315789473684,0.9887160870431556,0.5898851950548979
25.0,80.0,0.3,1520,0.5401315789473684,0.996756832086333,0.595841477647519
25.0,100.0,0.2,1520,0.5322368421052631,0.9903062849755708,0.5897589253417532
25.0,100.0,0.23,1520,0.5322368421052631,0.9875445344284143,0.5887537110280787
25.0,100.0,0.25,1520,0.5322368421052631,0.9886022236406871,0.5896688286618736
25.0,100.0,0.27,1520,0.5322368421052631,0.9916858962040048,0.5918521547033302
25.0,100.0,0.3,1520,0.5322368421052631,0.9997266412471818,0.5975050345298821
30.0,0.0,0.2,1520,0.5368421052631579,0.9950948253931133,0.5920508979927268
30.0,0.0,0.23,1520,0.5368421052631579,0.9923330748459569,0.5915093300527839
30.0,0.0,0.25,1520,0.5368421052631579,0.9933907640582296,0.5927097532626543
30.0,0.0,0.27,1520,0.5368421052631579,0.9964744366215472,0.5951593512750565
30.0,0.0,0.3,1520,0.5368421052631579,1.0045151816647242,0.6011759510484075
30.0,25.0,0.2,1520,0.5447368421052632,0.9877981144174304,0.5866612252115666
30.0,25.0,0.23,1520,0.5447368421052632,0.9850363638702737,0.5862810219516734
30.0,25.0,0.25,1520,0.5447368421052632,0.9860940530825469,0.5875907855997234
30.0,25.0,0.27,1520,0.5447368421052632,0.9891777256458657,0.5901511352381581
30.0,25.0,0.3,1520,0.5447368421052632,0.9972184706890411,0.5963365084277831
30.0,50.0,0.2,1520,0.5414473684210527,0.9840870858225773,0.5841940182306005
30.0,50.0,0.23,1520,0.5414473684210527,0.9813253352754201,0.5837740829154586
30.0,50.0,0.25,1520,0.5414473684210527,0.9823830244876931,0.5850630837352083
30.0,50.0,0.27,1520,0.5414473684210527,0.9854666970510096,0.5876072507121655
30.0,50.0,0.3,1520,0.5414473684210527,0.9935074420941862,0.5937769377223675
30.0,65.0,0.2,1520,0.5434210526315789,0.9835558747250173,0.5840777905298188
30.0,65.0,0.23,1520,0.5434210526315789,0.9807941241778607,0.583541473014908
30.0,65.0,0.25,1520,0.5434210526315789,0.9818518133901344,0.5847581125732755
30.0,65.0,0.27,1520,0.5434210526315789,0.9849354859534507,0.5872340997862925
30.0,65.0,0.3,1520,0.5434210526315789,0.992976230996627,0.5933093574582784
30.0,80.0,0.2,1520,0.5434210526315789,0.9842699558275638,0.5849346780860079
30.0,80.0,0.23,1520,0.5434210526315789,0.981508205280407,0.5842168801324421
30.0,80.0,0.25,1520,0.5434210526315789,0.9825658944926796,0.5853189979765253
30.0,80.0,0.27,1520,0.5434210526315789,0.9856495670559948,0.5876856356711098
30.0,80.0,0.3,1520,0.5434210526315789,0.9936903120991725,0.5936065669326773
30.0,100.0,0.2,1520,0.5328947368421053,0.9871102748079253,0.5874918164889155
30.0,100.0,0.23,1520,0.5328947368421053,0.9843485242607705,0.5864388189660955
30.0,100.0,0.25,1520,0.5328947368421053,0.9854062134730417,0.5873278300358356
30.0,100.0,0.27,1520,0.5328947368421053,0.9884898860363607,0.5894896486402027
30.0,100.0,0.3,1520,0.5328947368421053,0.9965306310795395,0.5951188906741794
40.0,0.0,0.2,1520,0.5394736842105263,0.9923851100508109,0.5905285318043205
40.0,0.0,0.23,1520,0.5394736842105263,0.9896233595036548,0.5898001641461793
40.0,0.0,0.25,1520,0.5394736842105263,0.9906810487159267,0.5908866121521525
40.0,0.0,0.27,1520,0.5394736842105263,0.9937647212792415,0.5932306813139133
40.0,0.0,0.3,1520,0.5394736842105263,1.00180546632242,0.5991048247236581
40.0,25.0,0.2,1520,0.5388157894736842,0.9849040679028963,0.5850143961334668
40.0,25.0,0.23,1520,0.5388157894736842,0.9821423173557415,0.5844553350619404
40.0,25.0,0.25,1520,0.5388157894736842,0.9832000065680144,0.5856562763551423
40.0,25.0,0.27,1520,0.5388157894736842,0.9862836791313327,0.5881161365877143
40.0,25.0,0.3,1520,0.5388157894736842,0.9943244241745092,0.5941663999479021
40.0,50.0,0.2,1520,0.5453947368421053,0.9809984696870103,0.5823275358847921
40.0,50.0,0.23,1520,0.5453947368421053,0.9782367191398544,0.5817423329827187
40.0,50.0,0.25,1520,0.5453947368421053,0.9792944083521243,0.5829313398559809
40.0,50.0,0.27,1520,0.5453947368421053,0.9823780809154434,0.585383660442294
40.0,50.0,0.3,1520,0.5453947368421053,0.9904188259586207,0.591430854533727
40.0,65.0,0.2,1520,0.5407894736842105,0.9803439882529369,0.5820354531019314
40.0,65.0,0.23,1520,0.5407894736842105,0.9775822377057797,0.5813447153488719
40.0,65.0,0.25,1520,0.5407894736842105,0.9786399269180528,0.5824684084234389
40.0,65.0,0.27,1520,0.5407894736842105,0.9817235994813686,0.5848594494259596
40.0,65.0,0.3,1520,0.5407894736842105,0.9897643445245479,0.590822288294649
40.0,80.0,0.2,1520,0.5467105263157894,0.980927977352274,0.5826839953172738
40.0,80.0,0.23,1520,0.5467105263157894,0.9781662268051186,0.5818246739389288
40.0,80.0,0.25,1520,0.5467105263157894,0.9792239160173904,0.5828422230941355
40.0,80.0,0.27,1520,0.5467105263157894,0.9823075885807062,0.5851321163086284
40.0,80.0,0.3,1520,0.5467105263157894,0.9903483336238857,0.5909526012415273
40.0,100.0,0.2,1520,0.5460526315789473,0.9835805586926314,0.5849133195991075
40.0,100.0,0.23,1520,0.5460526315789473,0.9808188081454752,0.5837392474708261
40.0,100.0,0.25,1520,0.5460526315789473,0.981876497357748,0.5845569693334081
40.0,100.0,0.27,1520,0.5460526315789473,0.984960169921069,0.5866550404878077
40.0,100.0,0.3,1520,0.5460526315789473,0.9930009149642438,0.5922028021415647
